반,성명,통학_권역,1학년_평균등급,3학년_평균등급,등급_변화,G1_미인정결과,G1_미인정결석,G1_미인정조퇴,G1_미인정지각,G1_질병결과,G1_질병결석,G1_질병조퇴,G1_질병지각,G2_미인정결과,G2_미인정결석,G2_미인정조퇴,G2_미인정지각,G2_질병결과,G2_질병결석,G2_질병조퇴,G2_질병지각,G3_미인정결과,G3_미인정결석,G3_미인정조퇴,G3_미인정지각,G3_질병결과,G3_질병결석,G3_질병조퇴,G3_질병지각
5,T,Zone B (시내/중거리),6.5,7.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,U,Zone B (시내/중거리),2.0,2.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,V,Zone B (시내/중거리),3.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,W,Zone B (시내/중거리),5.5,5.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,X,Zone B (시내/중거리),7.5,7.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Y,Zone A (농어촌/근거리),4.0,3.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Z,Zone A (농어촌/근거리),2.5,2.0,,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0
5,A,Zone B (시내/중거리),6.0,6.5,,0,0,0,0,0,0,4,2,0,0,0,0,0,1,4,3,0,0,0,0,0,12,4,1
5,B,Zone A (농어촌/근거리),3.5,4.0,,0,0,0,0,0,0,1,6,0,0,0,0,0,3,4,5,0,0,0,1,0,8,5,3
5,C,Zone A (농어촌/근거리),6.5,7.0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,2,1
5,D,Zone A (농어촌/근거리),3.0,3.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,5,1,0
